PUBLICATION_REVIEW_PAPER,PUBLICATION_FLAGSHIP_JOURNALS,PUBLICATION_Q1_Q2,PUBLICATION_WOS_INDEXED_JOURNAL,PUBLICATION_SCOPUS_INDEX_JOURNAL,PUBLICATION_INDEXED_PROCEEDING,PUBLICATION_PROCEEDING,PUBLICATION_RESEARCHBOOK,PUBLICATION_TEXTBOOK,PUBLICATION_EDITEDBOOK,PUBLICATION_RESEARCHBOOK_CHAPTER,PUBLICATION_OTHERARTICLE_TECHNICALPAPER,PUBLICATION_POLICYPAPER,ALUMNI_NATIONAL,ALUMNI_AFRICA,ALUMNI_ASIA,ALUMNI_CENTRAL_AMERICA_AND_CARIBBEAN,ALUMNI_EUROPEAN_UNION,ALUMNI_NORTH_AMERICA,ALUMNI_REST_OF_EUROPE,ALUMNI_SOUTH_AMERICA,ALUMNI_LAIN_LAIN,KEYNOTE_SPEAKER_PLENARY,KEYNOTE_SPEAKER_INVITED,PARTNERSHIP_AFRICA,PARTNERSHIP_ASIA,PARTNERSHIP_EUROPEAN_UNION,PARTNERSHIP_NORTH_AMERICA,PARTNERSHIP_OCEANIA,PARTNERSHIP_REST_OF_EUROPE,PARTNERSHIP_COUNTRY_N_A,PARTNERSHIP_NATIONAL,PROJECT_AREAS_BIOMEDICAL_AND_HEALTHCARE_ENGINEERING,PROJECT_AREAS_ENERGY_SECURITY,PROJECT_AREAS_ENERGY_SUSTAINABILITY,PROJECT_AREAS_NATURAL_PRODUCTS_BIOREFINERY_AND_BIOTECHNOLOGY,PROJECT_AREAS_NEXT_GENERATION_SYSTEMS_AND_NETWORKS,PROJECT_AREAS_SMART_LIVING_AND_SUSTAINABLE_CITIES,PROJECT_AREAS_SMART_MANUFACTURING_AND_MATERIALS,PROJECT_AREAS_SMART_MOBILITY,PROJECT_AREAS_SMART_SOCIETY,PROJECT_AREAS_SMART_TRANSPORTATION,PROJECT_AREAS_SUSTAINABLE_AND_RESILIENT_URBANISATION,PROJECT_AREAS_WATER_SECURITY,SCHOLARSHIP_PHD,SCHOLARSHIP_MASTER,CONFERENCE_INTERNATIONAL,CONFERENCE_NATIONAL_INCLUDE_UNIVERSITY_LEVEL,CONFERENCE_SUMMER_SCHOOL,PAPER_INCENTIVE_NO_OF_PAPER_STAFF,SCORE_AR,SCORE_OVERALL_RANK,OVERALL,SENTIMENT_NEGATIVE,SENTIMENT_NEUTRAL,SENTIMENT_POSITIVE,PROMINENT_H_INDEX___50,PROMINENT_H_INDEX_30_50,CITATION__100,CITATION_100_500,CITATION_500_1000,CITATION__1000_3000,CITATION_3000_5000,CITATION_5000_10000,CONSULTATION_CONFERENCE_SEMINAR,CONSULTATION_CONSULTANCY,CONSULTATION_TRAINING_SHORTCOURSES,MENTION_NEGATIVE,MENTION_NEUTRAL,MENTION_POSITIVE
292.0,205.0,1253,1792.0,672.0,829.0,158,56.0,18,7.4,277.0,1370.0,7,7289,257,849,1.0,1.3333333333333333,1.0,2.0,1.0,11,72.0,232.0,1.0,2.0,2.5,1.0,1.0,2.0,189,2.0,48.0,65.0,2.0,74.0,76.0,106.0,85,31.0,1.0,7.0,106.0,63.0,151,43,26.0,128.0,6.0,354,46.6,188,46.9,0.8,18.2,1.0,10,45,722,350,42,20,4,3,20.0,16.0,20.0,1.3333333333333333,22.75,1.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
283.0,254.0,1239,1910.0,561.0,644.0,4,28.0,34,6.0,320.0,2113.0,8,6942,226,589,1.0,2.0,1.0,2.0,1.0,6,64.0,278.0,1.0,23.0,1.0,1.0,1.0,2.0,13,72.0,29.0,29.0,29.0,32.0,68.0,90.0,52,25.0,36.0,7.0,34.0,15.0,38,1,30.0,19.0,6.0,1027,42.4,191,45.1,2.0,42.0,59.0,8,43,673,366,45,20,4,3,22.0,10.0,5.0,2.0,42.0,59.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
292.0,205.0,1253,1792.0,672.0,829.0,158,56.0,18,7.4,277.0,1370.0,7,7289,257,849,1.0,1.3333333333333333,1.0,2.0,1.0,11,72.0,232.0,1.0,2.0,2.5,1.0,1.0,2.0,189,2.0,48.0,65.0,2.0,74.0,76.0,106.0,85,31.0,1.0,7.0,106.0,63.0,151,43,26.0,128.0,6.0,354,46.6,188,46.9,0.8,18.2,1.0,10,45,722,350,42,20,4,3,20.0,16.0,20.0,1.3333333333333333,22.75,1.0
283.0,254.0,1239,1910.0,561.0,644.0,4,28.0,34,6.0,320.0,2113.0,8,6942,226,589,1.0,2.0,1.0,2.0,1.0,6,64.0,278.0,1.0,23.0,1.0,1.0,1.0,2.0,13,72.0,29.0,29.0,29.0,32.0,68.0,90.0,52,25.0,36.0,7.0,34.0,15.0,38,1,30.0,19.0,6.0,1027,42.4,191,45.1,2.0,42.0,59.0,8,43,673,366,45,20,4,3,22.0,10.0,5.0,2.0,42.0,59.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
283.0,254.0,1239,1910.0,561.0,644.0,4,28.0,34,6.0,320.0,2113.0,8,6942,226,589,1.0,2.0,1.0,2.0,1.0,6,64.0,278.0,1.0,23.0,1.0,1.0,1.0,2.0,13,72.0,29.0,29.0,29.0,32.0,68.0,90.0,52,25.0,36.0,7.0,34.0,15.0,38,1,30.0,19.0,6.0,1027,42.4,191,45.1,2.0,42.0,59.0,8,43,673,366,45,20,4,3,22.0,10.0,5.0,2.0,42.0,59.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
283.0,254.0,1239,1910.0,561.0,644.0,4,28.0,34,6.0,320.0,2113.0,8,6942,226,589,1.0,2.0,1.0,2.0,1.0,6,64.0,278.0,1.0,23.0,1.0,1.0,1.0,2.0,13,72.0,29.0,29.0,29.0,32.0,68.0,90.0,52,25.0,36.0,7.0,34.0,15.0,38,1,30.0,19.0,6.0,1027,42.4,191,45.1,2.0,42.0,59.0,8,43,673,366,45,20,4,3,22.0,10.0,5.0,2.0,42.0,59.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
283.0,254.0,1239,1910.0,561.0,644.0,4,28.0,34,6.0,320.0,2113.0,8,6942,226,589,1.0,2.0,1.0,2.0,1.0,6,64.0,278.0,1.0,23.0,1.0,1.0,1.0,2.0,13,72.0,29.0,29.0,29.0,32.0,68.0,90.0,52,25.0,36.0,7.0,34.0,15.0,38,1,30.0,19.0,6.0,1027,42.4,191,45.1,2.0,42.0,59.0,8,43,673,366,45,20,4,3,22.0,10.0,5.0,2.0,42.0,59.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
283.0,254.0,1239,1910.0,561.0,644.0,4,28.0,34,6.0,320.0,2113.0,8,6942,226,589,1.0,2.0,1.0,2.0,1.0,6,64.0,278.0,1.0,23.0,1.0,1.0,1.0,2.0,13,72.0,29.0,29.0,29.0,32.0,68.0,90.0,52,25.0,36.0,7.0,34.0,15.0,38,1,30.0,19.0,6.0,1027,42.4,191,45.1,2.0,42.0,59.0,8,43,673,366,45,20,4,3,22.0,10.0,5.0,2.0,42.0,59.0
258.0,261.0,1040,1731.0,871.0,897.0,617,15.0,23,7.4,231.0,1849.0,9,4925,50,99,1.0,1.0,4.0,3.0,1.0,16,54.0,171.0,1.0,3.0,2.5,1.0,1.0,1.0,8,9.0,2.0,2.0,29.0,2.0,69.75,2.0,2,1.0,36.0,7.0,1.0,44.25,11,5,12.0,10.0,6.0,819,39.4,187,44.2,1.0,45.0,33.0,7,42,772,370,44,20,4,3,12.0,15.0,4.0,1.0,45.0,33.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
292.0,205.0,1253,1792.0,672.0,829.0,158,56.0,18,7.4,277.0,1370.0,7,7289,257,849,1.0,1.3333333333333333,1.0,2.0,1.0,11,72.0,232.0,1.0,2.0,2.5,1.0,1.0,2.0,189,2.0,48.0,65.0,2.0,74.0,76.0,106.0,85,31.0,1.0,7.0,106.0,63.0,151,43,26.0,128.0,6.0,354,46.6,188,46.9,0.8,18.2,1.0,10,45,722,350,42,20,4,3,20.0,16.0,20.0,1.3333333333333333,22.75,1.0
258.0,261.0,1040,1731.0,871.0,897.0,617,15.0,23,7.4,231.0,1849.0,9,4925,50,99,1.0,1.0,4.0,3.0,1.0,16,54.0,171.0,1.0,3.0,2.5,1.0,1.0,1.0,8,9.0,2.0,2.0,29.0,2.0,69.75,2.0,2,1.0,36.0,7.0,1.0,44.25,11,5,12.0,10.0,6.0,819,39.4,187,44.2,1.0,45.0,33.0,7,42,772,370,44,20,4,3,12.0,15.0,4.0,1.0,45.0,33.0
283.0,254.0,1239,1910.0,561.0,644.0,4,28.0,34,6.0,320.0,2113.0,8,6942,226,589,1.0,2.0,1.0,2.0,1.0,6,64.0,278.0,1.0,23.0,1.0,1.0,1.0,2.0,13,72.0,29.0,29.0,29.0,32.0,68.0,90.0,52,25.0,36.0,7.0,34.0,15.0,38,1,30.0,19.0,6.0,1027,42.4,191,45.1,2.0,42.0,59.0,8,43,673,366,45,20,4,3,22.0,10.0,5.0,2.0,42.0,59.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
258.0,261.0,1040,1731.0,871.0,897.0,617,15.0,23,7.4,231.0,1849.0,9,4925,50,99,1.0,1.0,4.0,3.0,1.0,16,54.0,171.0,1.0,3.0,2.5,1.0,1.0,1.0,8,9.0,2.0,2.0,29.0,2.0,69.75,2.0,2,1.0,36.0,7.0,1.0,44.25,11,5,12.0,10.0,6.0,819,39.4,187,44.2,1.0,45.0,33.0,7,42,772,370,44,20,4,3,12.0,15.0,4.0,1.0,45.0,33.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
283.0,254.0,1239,1910.0,561.0,644.0,4,28.0,34,6.0,320.0,2113.0,8,6942,226,589,1.0,2.0,1.0,2.0,1.0,6,64.0,278.0,1.0,23.0,1.0,1.0,1.0,2.0,13,72.0,29.0,29.0,29.0,32.0,68.0,90.0,52,25.0,36.0,7.0,34.0,15.0,38,1,30.0,19.0,6.0,1027,42.4,191,45.1,2.0,42.0,59.0,8,43,673,366,45,20,4,3,22.0,10.0,5.0,2.0,42.0,59.0
283.0,254.0,1239,1910.0,561.0,644.0,4,28.0,34,6.0,320.0,2113.0,8,6942,226,589,1.0,2.0,1.0,2.0,1.0,6,64.0,278.0,1.0,23.0,1.0,1.0,1.0,2.0,13,72.0,29.0,29.0,29.0,32.0,68.0,90.0,52,25.0,36.0,7.0,34.0,15.0,38,1,30.0,19.0,6.0,1027,42.4,191,45.1,2.0,42.0,59.0,8,43,673,366,45,20,4,3,22.0,10.0,5.0,2.0,42.0,59.0
258.0,261.0,1040,1731.0,871.0,897.0,617,15.0,23,7.4,231.0,1849.0,9,4925,50,99,1.0,1.0,4.0,3.0,1.0,16,54.0,171.0,1.0,3.0,2.5,1.0,1.0,1.0,8,9.0,2.0,2.0,29.0,2.0,69.75,2.0,2,1.0,36.0,7.0,1.0,44.25,11,5,12.0,10.0,6.0,819,39.4,187,44.2,1.0,45.0,33.0,7,42,772,370,44,20,4,3,12.0,15.0,4.0,1.0,45.0,33.0
292.0,205.0,1253,1792.0,672.0,829.0,158,56.0,18,7.4,277.0,1370.0,7,7289,257,849,1.0,1.3333333333333333,1.0,2.0,1.0,11,72.0,232.0,1.0,2.0,2.5,1.0,1.0,2.0,189,2.0,48.0,65.0,2.0,74.0,76.0,106.0,85,31.0,1.0,7.0,106.0,63.0,151,43,26.0,128.0,6.0,354,46.6,188,46.9,0.8,18.2,1.0,10,45,722,350,42,20,4,3,20.0,16.0,20.0,1.3333333333333333,22.75,1.0
292.0,205.0,1253,1792.0,672.0,829.0,158,56.0,18,7.4,277.0,1370.0,7,7289,257,849,1.0,1.3333333333333333,1.0,2.0,1.0,11,72.0,232.0,1.0,2.0,2.5,1.0,1.0,2.0,189,2.0,48.0,65.0,2.0,74.0,76.0,106.0,85,31.0,1.0,7.0,106.0,63.0,151,43,26.0,128.0,6.0,354,46.6,188,46.9,0.8,18.2,1.0,10,45,722,350,42,20,4,3,20.0,16.0,20.0,1.3333333333333333,22.75,1.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
283.0,254.0,1239,1910.0,561.0,644.0,4,28.0,34,6.0,320.0,2113.0,8,6942,226,589,1.0,2.0,1.0,2.0,1.0,6,64.0,278.0,1.0,23.0,1.0,1.0,1.0,2.0,13,72.0,29.0,29.0,29.0,32.0,68.0,90.0,52,25.0,36.0,7.0,34.0,15.0,38,1,30.0,19.0,6.0,1027,42.4,191,45.1,2.0,42.0,59.0,8,43,673,366,45,20,4,3,22.0,10.0,5.0,2.0,42.0,59.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
283.0,254.0,1239,1910.0,561.0,644.0,4,28.0,34,6.0,320.0,2113.0,8,6942,226,589,1.0,2.0,1.0,2.0,1.0,6,64.0,278.0,1.0,23.0,1.0,1.0,1.0,2.0,13,72.0,29.0,29.0,29.0,32.0,68.0,90.0,52,25.0,36.0,7.0,34.0,15.0,38,1,30.0,19.0,6.0,1027,42.4,191,45.1,2.0,42.0,59.0,8,43,673,366,45,20,4,3,22.0,10.0,5.0,2.0,42.0,59.0
292.0,205.0,1253,1792.0,672.0,829.0,158,56.0,18,7.4,277.0,1370.0,7,7289,257,849,1.0,1.3333333333333333,1.0,2.0,1.0,11,72.0,232.0,1.0,2.0,2.5,1.0,1.0,2.0,189,2.0,48.0,65.0,2.0,74.0,76.0,106.0,85,31.0,1.0,7.0,106.0,63.0,151,43,26.0,128.0,6.0,354,46.6,188,46.9,0.8,18.2,1.0,10,45,722,350,42,20,4,3,20.0,16.0,20.0,1.3333333333333333,22.75,1.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
292.0,205.0,1253,1792.0,672.0,829.0,158,56.0,18,7.4,277.0,1370.0,7,7289,257,849,1.0,1.3333333333333333,1.0,2.0,1.0,11,72.0,232.0,1.0,2.0,2.5,1.0,1.0,2.0,189,2.0,48.0,65.0,2.0,74.0,76.0,106.0,85,31.0,1.0,7.0,106.0,63.0,151,43,26.0,128.0,6.0,354,46.6,188,46.9,0.8,18.2,1.0,10,45,722,350,42,20,4,3,20.0,16.0,20.0,1.3333333333333333,22.75,1.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
292.0,205.0,1253,1792.0,672.0,829.0,158,56.0,18,7.4,277.0,1370.0,7,7289,257,849,1.0,1.3333333333333333,1.0,2.0,1.0,11,72.0,232.0,1.0,2.0,2.5,1.0,1.0,2.0,189,2.0,48.0,65.0,2.0,74.0,76.0,106.0,85,31.0,1.0,7.0,106.0,63.0,151,43,26.0,128.0,6.0,354,46.6,188,46.9,0.8,18.2,1.0,10,45,722,350,42,20,4,3,20.0,16.0,20.0,1.3333333333333333,22.75,1.0
318.0,283.0,1203,1811.0,614.0,682.0,11,47.0,42,31.0,370.0,1714.0,6,8659,275,763,1.0,1.3333333333333333,2.5,4.0,1.0,21,55.0,200.0,1.0,37.0,4.0,1.0,1.0,3.0,33,119.0,48.0,68.0,29.0,55.0,81.0,143.0,94,34.0,36.0,7.0,93.0,50.0,40,7,29.0,19.0,6.0,1218,44.5,203,43.0,0.8,2.0,19.2,8,43,643,361,44,20,4,3,15.0,17.0,10.0,1.3333333333333333,2.0,24.0
292.0,205.0,1253,1792.0,672.0,829.0,158,56.0,18,7.4,277.0,1370.0,7,7289,257,849,1.0,1.3333333333333333,1.0,2.0,1.0,11,72.0,232.0,1.0,2.0,2.5,1.0,1.0,2.0,189,2.0,48.0,65.0,2.0,74.0,76.0,106.0,85,31.0,1.0,7.0,106.0,63.0,151,43,26.0,128.0,6.0,354,46.6,188,46.9,0.8,18.2,1.0,10,45,722,350,42,20,4,3,20.0,16.0,20.0,1.3333333333333333,22.75,1.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
230.2,200.6,947,1448.8,543.6,610.4,158,29.2,4,7.4,239.6,1409.2,6,6815,265,828,1.0,1.0,4.0,4.0,1.0,8,61.25,220.25,1.0,16.25,2.5,1.0,1.0,2.0,150,50.5,38.0,17.0,56.0,61.0,54.0,22.0,81,7.0,71.0,7.0,134.0,49.0,121,38,24.25,44.0,6.0,4,48.6,181,48.5,1.0,2.0,3.0,10,45,641,311,41,19,4,3,17.25,14.5,9.75,1.0,2.0,3.0
